[Wed Sep 04 16:33:57.078179 2019] [php7:warn] [pid 3844] [client ::1:42470] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:33:57.078222 2019] [php7:warn] [pid 3844] [client ::1:42470] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:33:57.078237 2019] [php7:warn] [pid 3844] [client ::1:42470] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:33:57.078259 2019] [php7:warn] [pid 3844] [client ::1:42470] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:29.777446 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:29.777469 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:29.777475 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:29.777480 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:29.915245 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:29.915260 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
